person,position,start_precision,start,end_precision,end
https://www.wikidata.org/wiki/Q12967,https://www.wikidata.org/wiki/Q13592862,0,17.12.1865,0,17.12.1909
https://www.wikidata.org/wiki/Q244748,https://www.wikidata.org/wiki/Q10962705,0,10.03.1889,0,12.12.1913
https://www.wikidata.org/wiki/Q708561,https://www.wikidata.org/wiki/Q19161825,0,04.01.1904,0,01.01.1912
https://www.wikidata.org/wiki/Q307132,https://www.wikidata.org/wiki/Q14566713,2,01.01.1894,2,01.01.1908
https://www.wikidata.org/wiki/Q4413077,https://www.wikidata.org/wiki/Q166382,2,01.01.1885,2,01.01.1911
https://www.wikidata.org/wiki/Q4413077,https://www.wikidata.org/wiki/Q181888,0,12.11.1885,0,03.01.1911
https://www.wikidata.org/wiki/Q299710,https://www.wikidata.org/wiki/Q268218,0,25.02.1875,0,14.11.1908
https://www.wikidata.org/wiki/Q299710,https://www.wikidata.org/wiki/Q11080008,0,25.02.1875,0,14.11.1908
https://www.wikidata.org/wiki/Q2080351,https://www.wikidata.org/wiki/Q166382,1,01.12.1897,0,13.04.1906
https://www.wikidata.org/wiki/Q174231,https://www.wikidata.org/wiki/Q208233,0,03.02.1867,0,30.07.1912
https://www.wikidata.org/wiki/Q159048,https://www.wikidata.org/wiki/Q701172,0,02.06.1896,0,14.10.1896
https://www.wikidata.org/wiki/Q3827288,https://www.wikidata.org/wiki/Q181888,2,1.01.1864,2,1.01.1910
https://www.wikidata.org/wiki/Q257425,https://www.wikidata.org/wiki/Q22304810,0,20.01.1863,0,12.10.1897
https://www.wikidata.org/wiki/Q257425,https://www.wikidata.org/wiki/Q23665193,0,12.10.1897,0,20.07.1907
https://www.wikidata.org/wiki/Q889847,https://www.wikidata.org/wiki/Q28478447,0,04.06.1888,0,09.10.1913
https://www.wikidata.org/wiki/Q151509,https://www.wikidata.org/wiki/Q850168,0,15.01.1902,0,09.11.1953
https://www.wikidata.org/wiki/Q886987,https://www.wikidata.org/wiki/Q19700527,0,17.05.1881,0,01.12.1911
https://www.wikidata.org/wiki/Q134817,https://www.wikidata.org/wiki/Q15315411,0,31.08.1876,0,27.04.1909
https://www.wikidata.org/wiki/Q467021,https://www.wikidata.org/wiki/Q184299,0,01.05.1896,0,03.01.1907
https://www.wikidata.org/wiki/Q158861,https://www.wikidata.org/wiki/Q27330121,0,01.10.1868,0,23.10.1910
https://www.wikidata.org/wiki/Q169502,https://www.wikidata.org/wiki/Q191954,0,18.02.1899,0,18.02.1906
https://www.wikidata.org/wiki/Q51056,https://www.wikidata.org/wiki/Q6412254,0,02.12.1848,0,21.11.1916
https://www.wikidata.org/wiki/Q151305,https://www.wikidata.org/wiki/Q5313049,0,15.11.1863,2,01.01.1864
https://www.wikidata.org/wiki/Q151305,https://www.wikidata.org/wiki/Q18341329,0,15.11.1863,0,29.01.1906
https://www.wikidata.org/wiki/Q151305,https://www.wikidata.org/wiki/Q63375991,0,15.11.1863,2,01.01.1864
https://www.wikidata.org/wiki/Q151305,https://www.wikidata.org/wiki/Q63871039,0,15.11.1863,2,01.01.1864
https://www.wikidata.org/wiki/Q2677,https://www.wikidata.org/wiki/Q501503,0,15.06.1888,0,09.11.1918
https://www.wikidata.org/wiki/Q17142,https://www.wikidata.org/wiki/Q87071077,0,30.03.1863,0,18.03.1913
https://www.wikidata.org/wiki/Q43739,https://www.wikidata.org/wiki/Q19546,0,04.08.1903,0,20.08.1914
https://www.wikidata.org/wiki/Q150642,https://www.wikidata.org/wiki/Q271148,0,29.07.1900,0,09.05.1946
https://www.wikidata.org/wiki/Q150642,https://www.wikidata.org/wiki/Q6412197,0,16.04.1939,0,08.09.1943
https://www.wikidata.org/wiki/Q150642,https://www.wikidata.org/wiki/Q10962705,0,09.05.1936,0,05.05.1941
https://www.wikidata.org/wiki/Q57302,https://www.wikidata.org/wiki/Q166886,0,20.08.1839,0,20.09.1866
https://www.wikidata.org/wiki/Q57302,https://www.wikidata.org/wiki/Q3276071,0,23.11.1890,0,17.11.1905
https://www.wikidata.org/wiki/Q159646,https://www.wikidata.org/wiki/Q2457774,0,10.09.1889,0,26.06.1922
https://www.wikidata.org/wiki/Q283255,https://www.wikidata.org/wiki/Q12097,0,28.08.1910,0,26.11.1918
https://www.wikidata.org/wiki/Q150747,https://www.wikidata.org/wiki/Q2045066,0,23.11.1890,0,04.09.1948
https://www.wikidata.org/wiki/Q52924,https://www.wikidata.org/wiki/Q1268572,0,18.09.1872,0,08.12.1907
https://www.wikidata.org/wiki/Q52924,https://www.wikidata.org/wiki/Q1294765,0,18.09.1872,0,07.06.1905
https://www.wikidata.org/wiki/Q158874,https://www.wikidata.org/wiki/Q58800860,0,19.10.1889,0,01.02.1908
https://www.wikidata.org/wiki/Q40787,https://www.wikidata.org/wiki/Q2618625,0,13.11.1894,0,15.03.1917
https://www.wikidata.org/wiki/Q40787,https://www.wikidata.org/wiki/Q3273712,0,01.11.1894,0,15.03.1917
https://www.wikidata.org/wiki/Q211827,https://www.wikidata.org/wiki/Q12097,0,01.12.1918,0,16.08.1921
https://www.wikidata.org/wiki/Q18363,https://www.wikidata.org/wiki/Q3847454,0,17.05.1902,0,14.04.1931
https://www.wikidata.org/wiki/Q18363,https://www.wikidata.org/wiki/Q58637583,0,17.05.1886,0,14.04.1931
https://www.wikidata.org/wiki/Q20875,https://www.wikidata.org/wiki/Q12097,0,22.01.1901,0,06.05.1910
https://www.wikidata.org/wiki/Q20875,https://www.wikidata.org/wiki/Q5352166,0,22.01.1901,0,06.05.1910
https://www.wikidata.org/wiki/Q20875,https://www.wikidata.org/wiki/Q9134365,0,22.01.1901,0,06.05.1910
https://www.wikidata.org/wiki/Q336280,https://www.wikidata.org/wiki/Q390776,0,12.11.1898,0,10.12.1904
https://www.wikidata.org/wiki/Q336280,https://www.wikidata.org/wiki/Q641589,0,18.11.1905,0,23.11.1910
https://www.wikidata.org/wiki/Q333336,https://www.wikidata.org/wiki/Q390776,0,10.12.1904,0,13.10.1911
https://www.wikidata.org/wiki/Q721799,https://www.wikidata.org/wiki/Q27977064,0,08.05.1902,0,01.05.1906
https://www.wikidata.org/wiki/Q322173,https://www.wikidata.org/wiki/Q1370482,0,20.05.1902,0,28.09.1906
https://www.wikidata.org/wiki/Q879169,https://www.wikidata.org/wiki/Q6085537,0,08.02.1898,0,15.04.1920
https://www.wikidata.org/wiki/Q886447,https://www.wikidata.org/wiki/Q3290543,0,21.12.1902,0,02.12.1908
https://www.wikidata.org/wiki/Q881518,https://www.wikidata.org/wiki/Q13341442,0,13.04.1903,0,25.02.1907
https://www.wikidata.org/wiki/Q881518,https://www.wikidata.org/wiki/Q13341442,0,01.02.1912,0,21.03.1913
https://www.wikidata.org/wiki/Q150688,https://www.wikidata.org/wiki/Q628004,0,01.12.1884,0,25.05.1911
https://www.wikidata.org/wiki/Q560938,https://www.wikidata.org/wiki/Q852448,0,25.07.1893,0,21.12.1909
https://www.wikidata.org/wiki/Q322234,https://www.wikidata.org/wiki/Q886965,0,01.10.1910,0,05.10.1910
https://www.wikidata.org/wiki/Q33866,https://www.wikidata.org/wiki/Q11696,0,14.09.1901,0,04.03.1909
https://www.wikidata.org/wiki/Q33866,https://www.wikidata.org/wiki/Q2347975,0,01.01.1899,0,31.12.1900
https://www.wikidata.org/wiki/Q335965,https://www.wikidata.org/wiki/Q610669,0,09.01.1903,0,21.01.1904
https://www.wikidata.org/wiki/Q335965,https://www.wikidata.org/wiki/Q1840570,0,10.04.1899,0,17.07.1902
https://www.wikidata.org/wiki/Q333831,https://www.wikidata.org/wiki/Q610669,0,21.01.1904,0,09.09.1908
https://www.wikidata.org/wiki/Q356659,https://www.wikidata.org/wiki/Q12969145,0,12.10.1898,0,12.10.1904
https://www.wikidata.org/wiki/Q356659,https://www.wikidata.org/wiki/Q12969145,0,12.10.1880,0,12.10.1886
